term,definition
CFGB,Comité Français des grands barrages
CFHE,Conseil français des personnes handicapées pour les questions européennes
CFI,Crédit formation individualisé
CFL,Comité des finances locales
CFM,Championnat de France Militaire
CFMG,Conseil de la Fonction Militaire de la Gendarmerie
CFP,Compagnie française des pétroles
CFP,Concours Force Publique
CFP,Congé de formation professionnelle
CFPC,Centre de formation des personnels communaux
CFPET,Centre de Formation des Professeurs de l’Enseignement Technique
CFPI,Commission de la fonction publique internationale
CFPPA,Centre de Formation Professionnelle et de Promotion Agricoles
CFTA,Centre de formation de techniciens agricoles
CFTC,Confédération française des travailleurs chrétiens
CFTS,Centre de Formation au Travail social (ou de Travailleurs Sociaux)
CG,Conseil Général
CGA,Centre de gestion Agrée.
CGA,Centre de gestion agréé
CGA,Centre de gestion agréé
CGAAER,"Conseil général de l'alimentation, de l'agriculture et des espaces ruraux"
CGB,Commission d'étude de la dissémination des produits issus du génie biomoléculaire
CGC,Confédération française de l'encadrement
CGCT,Code Général des Collectivités Territoriales
CGCT,Compagnie générale de construction téléphonique
CGD,Compagnie de Gendarmerie Départementale
CGDD,Commissariat général au développement durable
CGE,Compagnie générale d'électricité
CGE,Conférence des grandes écoles
CGEDD,Conseil Général de l’Environnement et du Développement Durable
CGEF,Contrôle général économique et financier
CGEIET,"Conseil général de l'économie, de l'industrie, de l'énergie et des technologies"
CGET,Commissariat général à l'égalité des territoires
CGG,Commission du génie génétique
CGGREF,"Conseil général du génie rural, des eaux et des forêts."
CGI,Code général des impôts
CGI,Commissariat général à l'investissement
CGLLS,Caisse de garantie du logement locatif social
CGLPL,Contrôleur Général des Lieux de Privation de Liberté
CGLS,Caisse de garantie du logement social
CGMAR,Commandant de la Gendarmerie MARitime
CGOM,Commandant de la Gendarmerie d'Outre-Mer
CGP,Commissariat général du plan.
CGPC,Conseil général des ponts et chaussées
CGPM,Commission générale des pêches pour la Méditerranée
CGPME,Confédération générale des petites et moyennes entreprises
CGSCOP,Confédération Générale Des Scop
CGSS,Caisse Générale de sécurité Sociale
CGT,Confédération générale du travail
CGT-FO,Confédération générale du travail-Force ouvrière
CGTI,Conseil général des technologies de l'information
CH,Centre hospitalier
CHA,Centre d’hygiène alimentaire voir aussi ( CHAA)
CHAA,Centre d’hygiène alimentaire et d’alcoologie
CHAIE,Comité d'harmonisation de l'audit interne de l'Etat
CHAP,Chambre d’application des peines (Cour d’appel).
CHD,Centre Hospitalier Départemental
CHEAR,Centre des hautes études de l'armement
CHG,Centre hospitalier général
CHR,Centre hospitalier régional
CHRS,Centre d'hébergement et de réinsertion sociale
CHRS,Centre d’Hébergement et de réadaptation sociale
CHRU,Centre hospitalier régional universitaire.
CHS,Centre hospitalier spécialisé
CHS,Comité hygiène et sécurité
CHS,Commission d'hygiène et sécurité.
CHSC,Comité hygiène et sécurité central
CHSCT,"Comité d'hygiène, de sécurité et des conditions de travail"
CHSD,Comité d'hygiène et sécurité départemental.
CHSLD,Centre d’Hébergement Et De Soins De Longue Durée
CHSM,Comité hygiène et sécurité ministériel
CHU,Centre D’hébergement D’urgence
CHU,Centre hospitalier universitaire
CI,Chambre d’Isolement
CI,Comparution immédiate.
CI-RMA,Contrat insertion - Revenu minimum d'activité
CIAA,Comité interministériel de l'agriculture et de l'alimentation (Secrétariat du)
CIACT,Comité interministériel d'aménagement et de compétitivité du territoire.
CIAD,Centre d’Information et d’Accueil Départemental
CIADT,Comité interministériel d'aménagement et de développement du territoire
CIALA,Secrétariat général de la Commission interministérielle d’aide à la localisation des activités
CIANE,Comité interministériel d'aménagement de la nature et de l'environnement.
CIAPT,Certificat d'Initiation et d'Aptitude au Tir
CIAS,Centre intercommunal d'action sociale
CIAS,Centre intercommunale d’action sociale
CIAT,Comité interministériel pour l'aménagement du territoire
CIBC,Centres interministériels de bilans de compétences
CIC,Centre d’Investigation Clinique
CIC,Cellule d'Investigation Criminelle
CICAS,Centre d’information et de coordination de l’action sociale (des régimes de retraite)
CICAT,Centre d’information et de conseil sur les aides techniques
CICC,Commission interministérielle de coordination des contrôles portant sur les opérations cofinancées par les fonds européens
CICID,Comité interministériel de la coopération internationale et du développement
CICR,Comité international de la Croix-Rouge
CIDAR,Comité interministériel de développement et d'aménagement rural
CIDB,Centre d'information et de documentation sur le bruit.
CIDCE,Centre international de droit comparé de l'environnement
CIDD,Comité interministériel du développement durable.
CIDDIST,Centre d’Information de Dépistage et de Diagnostic des Infections Sexuellement Transmissibles
CIDE,Convention Internationale Des Droits De L’enfant
CIDFF,Centre d’Information des Droits des Femmes et de la Famille
CIDISE,Comité interministériel pour le développement des investissements et le soutien de l'emploi
CIDJ,Centre d’information et de documentation de la jeunesse
CIDOL,Comité interministériel pour le développement de l’offre de logements
CIDOL,Comité interministériel pour le développement de l'offre de logement (Secrétariat)
CIE,Contrat initiative emploi
CIEC,Commission internationale de l'état-civil
CIEC,Centre d'Instruction Élémentaire de Conduite
CIEDE,Centre d'information sur l'énergie durable et l'environnement.
CIEEMG,Commission Interministérielle pour l'Étude des Exportations de Materiels de Guerre
CIELE,Centre d'information sur l'énergie et l'environnement
CIEM,Conseil international pour l'exploitation de la mer.
CIEP,Centre international d’études pédagogiques
CIEPE,Centre d'information environnement pour les entreprises
CIET,Comité interministériel des villes
CIF,"Classification internationale du Fonctionnement, du handicap et de la santé"
CIF,Coefficient d'intégration fiscale
CIF,Congé Individuel de Formation
CIFA,Contrat installation formation artisanale
CIFAD,Centre interministériel de formation antidrogues
CIFIA,Comité interministériel de financement des industries agro-alimentaires
CIFRE,Convention industrielle de formation par la recherche
CIG,Centre interdépartemental de gestion
CIH,Classification Internationale Des Handicaps (voir aussi CIF qui a été adoptée depuis 2001)
CIH,Comité interministériel du handicap
CII,Comité interministériel à l’intégration
CII,Compagnie internationale pour l'informatique
CIIS,Centre d’information sur les innovations sociales
CIJ,Cour internationale de justice
CIJAP,Cellule d'Information Juridique aux Acheteurs Publics de Lyon
CIL,Comité d’intérêt local
CIL,Comités interprofessionnels du logement
CILE,Centre international de liaison pour l'environnement.
CILE,Comité interministériel de lutte contre l’exclusion
CILF,Conseil international de la Langue française
CILPI,Commission interministérielle pour le logement des populations immigrées (Secrétariat)
CILPI,Commission interministérielle pour le logement des populations immigrés
CIM,Comité d’Information Médicale
CIM-10,Classification internationale des maladies-10e révision
CIO,Centres d'information et d'orientation
CIO,Comité international olympique
CIP,Club Inter Pharmaceutique
CIP,Conseiller en insertion professionnelle
CIP,Commission Internationale Permanente ou Cellule Intervention Professionnelle
CIPA,Cycle d’Insertion Professionnelle par Alternance
CIPD,Comité Interministérielle de Prévention de la Délinquance
CIPE,Comité interministériel pour la promotion de l'emploi
CIPPA,Cycle d’Insertion Professionnelle Par Alternance
CIPR,Commission internationale pour la protection du Rhin
CIPRNM,Comité interministériel de prévention des risques naturels majeurs.
CIR,Centre d'information routière.
CIR,Centre d’information sur la retraite
CIR,Centre d'Information et de Recrutement
CIRA,Centre interministériel de renseignements administratifs
CIRAD,Centre de coopération internationale en recherche agronomique pour le développement
CIRC,Centre d’incitation à la Recherche Clinique
CIRCE,Centre interservices pour la recherche documentaire des communautés européennes.
CIRCIA,Caisse interprofessionnelle de retraite des cadres de l’industrie et assimilés
CIRCOSC,Centre interrégional de coordination des opérations de sécurité civile
CIRD,Comité interservices pour la recherche et le développement.
CIRDD,Centre d’Information et de Ressources sur les Drogues et les Dépendances
CIRDI,Centre international pour le règlement des différends relatifs aux investissements
CIRE,Cellules Inter Régionales D’épidémiologie (voir aussi INVS)
CIRED,Centre international de recherches sur l'environnement et le développement.
CIRI,Comité interministériel de restructuration industrielle
CIRI,Comité interministériel de restructuration industrielle (Secrétariat)
CIRIT,Comité interprofessionnel de rénovation de l'industrie textile
CIRJ,Cellule d'Information et de Rapprochements Judiciaires
CIRRIC,Caisse Interprofessionnelle de Retraite par Répartition pour l’Industrie et leCommerce
CIS,Cellule information solidarité
CISIH,Centre d’information et de soins de l’immuno-déficience humaine
CISIRH,Centre interministériel de services informatiques relatifs aux ressources humaines
CISMF,Centre interarmées de soutien météo-océanographique des forces
CISP,Conseiller(ère) en insertion sociale et professionnelle
CISS,Collectif Inter associatif sur la Santé
CIT,Centre intégré de traitement ( des déchets ménagers )
CITES,Convention sur le commerce international des espèces de faunes et de flores sauvages ( convention de Washington)
CITIFD,"Cellule Immigration, Travail Illégal et Fraude Documentaire"
CITL,Centre D’initiation Au Travail Et Aux Loisirs
CITP,Comité interministériel de la transformation publique
CITRAS,Centre inter-établissements de recherche clinique et de traitement anti-SIDA
CITSS,Commissions Interrégionales de la Tarification Sanitaire et Sociale
CIV,Comité interministériel des villes
CIVI,Commission d’indemnisation des victimes d’infraction
CIVI,Commission d’indemnisation des victimes d’infractions.
CIVI,Centre d'information sur le volontariat international
CIVIS,Centre interprofessionnel pour l’information sur l’infection à VIH et le SIDA
CIVIS,Contrat d'insertion dans la vie sociale
CIVS,Commission pour l'indemnisation des victimes de spoliations intervenues du fait des législations antisémites en vigueur pendant l'Occupation
CJ,Contrôle judiciaire.
CJCE,Cour de justice des Communautés européennes
CJDES,"Centre Des Jeunes, Des Dirigeants,Des Acteurs De l’économie Sociale"
CL,Collectivité Locale
CLACT,Contrats Locaux D’amélioration Des Conditions De Travail
CLAD,Classe d’adaptation
CLAIR,"Collèges Et Lycées Pour L’ambition, L’innovation Et La Réussite"
CLAN,Comité de liaison alimentation nutrition
CLAP,Comité Local D’aide Au Projet
CLAS,contrats locaux d’accompagnement scolaire
CLAT,Centre de Lutte Anti-Tuberculeux
CLAU,Commission locale d'aménagement et d'urbanisme.
CLCBE,Comité de liaison des comités de bassin d'emploi
CLCC,Centre de Lutte Contre le Cancer
CLCV,"Consommation, logement et cadre de vie"
CLD,Chômeur de Longue Durée
CLD,Congé longue durée
CLDM,Congé de Longue Durée pour Maladie
CLDP,Centre Local de Documentation Pédagogique
CLE,Commission locale de l'eau.
CLEIRPPA,"Centre de liaison, d’étude, d’information et de recherche sur les problèmes des personnes âgées"
CLEISS,Centre des liaisons européennes et internationales de sécurité sociale
CLEMI,Centre de liaison de l'enseignement et des médias d'information
CLER,Comité de liaison énergies renouvelables
CLES,Contrats locaux éducatifs et sociaux
CLHP,Chromatographie liquide à haute performance
CLI,Commission locale d'information
CLI,Commission locale d’insertion
CLIC,"Centres locaux d'information, de liaison et de coordination"
CLIC,Centres locaux d’information et de coordination gérontologique
CLIC,Comité local d'information et de concertation.
CLICOSS,Comité de Liaison et de Coordination des Services Sociaux voir aussi CODELICO
CLIN,Comité de Lutte contre les infections nosocomiales
CLIN,Classe d’Initiation ala Langue Française
CLINT,CLasse INTégrée
CLIPA,Classe d'initiation préprofessionnelle en alternance
CLIPPA,Classe d’initiation préprofessionnelle en alternance
CLIS,Classe d’Intégration Scolaire
CLIS,Commission locale d'information et de surveillance.
CLIS 1,Classe d’intégration pour handicapés mentaux
CLIS 2,Classe d’intégration pour handicapés auditifs
CLIS 3,Classe d’intégration pour handicapés visuels
CLIS 4,Classe d’intégration pour handicapés moteurs
CLLAJ,Comité local pour le logement autonome des jeunes
CLM,Congé de Longue Maladie
CLMH,Classé monument historique
CLNAS,Concession de Logement par Nécessité Absolue de Service
CLOUS,Centre Local des Oeuvres Universitaires et Scolaires
CLPA,Carte de localisation probable des avalanches
CLPES,Centre d’études sur les politiques économiques et sociales
CLR,Complément local de ressources
CLS,Contrats locaux de sécurité
CLS,Comité Local de Sûreté
CLSH,Centres de loisirs sans hébergement (la nouvelle désignation est ALSH)
CLSPD,Conseil Local de Sécurité et de Prévention de la Délinquance
CLSPD,Comité Local de Sécurité et de Prévention de la Délinquance
CLUD,Comité de Lutte contre la Douleur
CMA,Complication et Morbidité Associée
CMA,Centre Médical des Armées
CMC,Catégorie Majeur Clinique
CMC,Centre Médico-Chirurgical
CMD,Catégorie Majeur de Diagnostique
CMD,Causes Médicales de Décès
CMD,Comité Médical Départemental
CMDD,Commission méditerranéenne du développement durable.
CMDE,Chargés de Mission Développement Économique
CME,Centre médical d'évacuation
CME,Centre Médico-éducatif
CME,Commission Médicale d’établissement
CME,Conseil mondial de l'énergie.
CMED,Commission mondiale sur l'environnement et le développement
CMH,Coordination Médicale Hospitaliére
CMI,Centre Médico-Infantile
CMI,Comité maritime international.
CMIA,Centre Médical InterArmées
CMIC,Cellule mobile d'intervention chimique
CMIR,Cellule mobile d'intervention radiologique
CML,Certificat Militaire de Langue
CMM,Centre de météorologie marine
CMN,Centre des monuments nationaux
CMP,Centre médico-psychologique
CMP,Code des marchés publics
CMP,Consultation médico-psychologique
CMPE,Commission des Marchés Publics de l'État
CMPI,Centre Médico-psychologique Infantile
CMPP,Centre Médico-Psycho-Pédagogique
CMPR,Centre de Médecine Physique et de Réadaptation
CMPS,Centre Médico-Psycho-Sociologique
CMS,Centre Médico-Scolaire
CMSA,Caisse de Mutualité sociale agricole
CMU,Couverture maladie universelle
CMUC,Couverture maladie universelle complémentaire
CMUP,Cellule d'urgence médico-psychologique
CMVOA,Mission de veille opérationnele et d'alerte : centre de veille opérationnelle et d'alerte
CMVRH,Centre ministériel de valorisation des ressources humaines
CNA,Conseil national de l'air.
CNAC,Centre national d’art et de culture
CNAC Georges-Pompidou,Centre national d'art et de culture Georges-Pompidou
CNAC-GP,Centre national d'art et de culture Georges Pompidou
CNADDT,Conseil national à l’aménagement et du developpement durable du territoire
CNADT,Conseil national de l'aménagement et du développement du territoire
CNAEMO,Carrefour National de l’Action Éducative en Milieu Ouvert
CNAF,Caisse nationale d'allocations familiales
CNAF,Caisse nationale des allocations familiales
CNAFA,Commission nationale pour la formation à l’animation
CNAJEP,Comité national pour les relations nationales et internationales des associations de jeunesse et d'éducation populaire
CNAM,Conservatoire national des arts et métiers
CNAMOME,"Chambre Nationale des Architectes agrées, maîtres d'œuvre, Métreurs, Experts"
CNAMTS,Caisse nationale d'assurance maladie des travailleurs salariés
CNAMTS,Caisse nationale de l'assurance maladie des travailleurs salariés
CNANES,Comité national alimentation nutrition dans les établissements de santé
CNAOP,Conseil national d'accès aux origines personnelles
CNAP,Conseil national d'accession à la propriété
CNAP,Centre national d'arts plastiques
CNAP,Centre national des arts plastiques
CNAPE,convention nationale des associations de protection de l’Enfant (anciennement UNASEA
CNAPS,Conseil national des activités physiques et sportives
CNAS,Comité national d’action scientifique Contre le SIDA
CNAS,Comité National D’action Sociale Pour Le Personnel Des Collectivités Territoriales
CNASEA,Centre national pour l'aménagement des structures des exploitations agricoles
CNAU,Centre National d'Aide aux Utilisateurs
CNAV,Caisse nationale d'assurance vieillesse
CNAVPL,Caisse nationale d'assurance vieillesse des professions libérales
CNAVTS,Caisse nationale d'assurance vieillesse des travailleurs salariés
CNB,Conseil national du bruit.
CNBA,Chambre nationale de la batellerie artisanale
CNBF,Caisse nationale des barreaux français
CNC,Centre national de la cinématographie
CNC,Certificat National De Compétences (protection Judiciaire)
CNC,Centre national du cinéma et de l'image animée
CNCA,Caisse nationale de crédit agricole
CNCC,Conseil national des commissaires aux comptes.
CNCCFP,Service juridique
CNCCFP,Commission nationale des comptes de campagne et des financements politiques
CNCCG,Centre national de coordination des centres de gestion
CNCDH,Commission nationale consultative des droits de l’homme (premier ministre)
CNCDH,Commission nationale consultative des droits de l'homme
CNCE,Comité national de coordination et d’évaluation
CNCE,Compagnie nationale des commissaires enquêteurs.
CNCFS,Conseil national de la chasse et de la faune sauvage
CNCFSC,Conseil national de la chasse et de la faune sauvage captive
CNCIS,Commission nationale des contrôles d'interception de sécurité
CNCL,Comité national consultatif de labellisation
CNCP,Commission nationale de la certification professionnelle - Secrétariat national
CNCPH,Conseil national consultatif des personnes handicapées
CNCRES,Conseil National des Chambres Régionales de l’Économie Sociale
CNCT,Comité national contre le tabagisme
CNCTR,Commission nationale de contrôle des techniques de renseignement
CND,Conseil national des déchets.
CNDA,Cour Nationale Du Droit D’asile
CNDD,Conseil national du développement durable.
CNDI,Centre National pour le développement de l'information
CNDP,Centre national de documentation pédagogique
CNDP,Comité national de débat public.
CNDP,Réseau Canopé - Centre national de documentation pédagogique
CNDP,Commission nationale du débat public
CNDPF,Carrefour national des délégués aux prestations familiales (anciennement CETT)
CNDS,Centre national de développement du sport
CNDS,Comité national de danse sportive
CNDS,Centre national pour le développement du sport
CNE,Comité national de l'eau.
CNE,Contrat nouvelle embauche
CNE,Conseil national de l'emploi
CNEAP,Conseil National de l’Enseignement Agricole Privé
CNEC,Commission nationale d'équipement commercial
CNED,Centre national d'enseignement à distance
CNEE,Conseil National Éducation Économie
CNEFG,Centre National d'Entraînement des Forces de la Gendarmerie
CNEFOP,"Conseil national de l'emploi, de la formation et de l'orientation professionnelles"
CNEH,Centre National De L’expertise Hospitalière
CNEI,Comité National des Entreprises d’Insertion
CNEJ,Centre national d'études judiciaires
CNEPEOM,Commission nationale d'évaluation des politiques de l'État outre-mer
CNES,Centre national d'études spatiales
CNESER,Conseil national de l'enseignement supérieur et de la recherche
CNESMS,Conseil National De L’évaluation Sociale Et Médico-sociale
CNESS,Centre national d’études supérieures de la sécurité sociale
CNESSS,Centre national d'études supérieures de sécurité sociale
CNET,Centre national d'études des télécommunications
CNEXO,Centre national pour l'exploitation des océans
CNFC,Centre National de Formation au Commandement
CNFCSTAGN,Centre National de Formation du Corps de Soutien Technique et Administratif de la Gendarmerie Nationale
CNFDG,Centre National de Formation à Distance de la Gendarmerie
CNFG,Comité National Français de la géologie
CNFLIG,Centre National de Formation aux Langues et à l'International de la Gendarmerie
CNFLRH,Comité national français de liaison pour la réadaptation des handicaps
CNFMC,Conseils Nationaux de la Formation Médicale Continue
CNFPJ,Centre National de Formation de la Police Judiciaire
CNFPMGN,Centre National de Formation du Personnel Motocycliste de la Gendarmerie
CNFPT,Centre national de la fonction publique territoriale
CNFSG,Centre National de Formation au Secourisme de la Gendarmerie
CNFSICG,Centre National de Formation aux Systèmes d'Information et de Communication de la Gendarmerie
CNFSR,Centre National de Formation à la Sécurité Routière
CNG,Centre national de gestion
CNG,Centre National de Gestion des praticiens et des personnels de direction (FPH)
CNG,Caisse Nationale du Gendarme
CNH,Conseil national de l’habitat
CNIAE,Conseil national de l’insertion par l’activité économique
CNIAE,Secrétariat du Conseil national de l'insertion par l'activité économique
CNICG,Centre National d'Instruction Cynophie de la Gendarmerie
CNICO,Centre national d'information et de coordination
CNIDFF,Centre national d’information sur les droits des femmes et des familles
CNIG,Conseil national de l'information géographique
CNIGMAR,Centre National d'Instruction de la Gendarmerie Maritime
CNIH,Comité national interprofessionnel de l'horticulture
CNIID,Centre National d'information indépendante sur les déchets
CNIJ,Centre national d'informatique juridique
CNIL,Commission nationale de l'informatique et des libertés
CNIL,Commission Nationale Informatique et Libertés
CNIM,Collége National d’Information Médicale
CNING,Centre National d'Instruction Nautique de la Gendarmerie
CNIPE,Centre national d'information pour la productivité des entreprises
CNIR,Centre National d'information routière
CNIR,Centre national d’information pour la réadaptation
CNIS,Conseil national de l'information statistique
CNISAG,Centre National d'Instruction au Ski et à l'Alpinisme de la Gendarmerie
CNL,Confédération nationale du logement
CNL,Centre national du livre
CNLAPS,Comité National De Liaison Des Associations De Prévention Spécialisée
CNLES,Conseil National des politiques de Lutte contre la pauvreté et l’Exclusion Sociale
CNLI,Commission nationale pour le logement des immigrés
CNLRQ,Comité national de liaison des régies de quartier
CNM,Conseil national de la montagne.
CNME,Caisse nationale des marchés de l'État
CNMHS,Caisse nationale des monuments historiques et des sites.
CNML,Conseil national des missions locales
CNMSS,Caisse nationale militaire de sécurité sociale
CNNC,Commission nationale de la négociation collective
CNNRBC,Cellule Nationale Nucléaire Radioactif Bactériologique Chimique
CNNum,Conseil national du numérique
CNO,Convention Nationale d’Objectifs
CNOM,Conseil National de l’ordre des Médecins
CNOP,Conseil National de l’Ordre des Pharmaciens
CNOSF,Comité national olympique du sport français
CNOSS,Comité National d’Organisation Sanitaire et Sociale
CNOUS,Centre national des oeuvres universitaires et scolaires
CNP,Conseil national du paysage.
CNPD,Conseil National De Prévention De La Délinquance.
CNPERT,"Centre National De Prévention, d’études Et De Recherches Sur Les Toxicomanies"
CNPF,Conseil national du patronat français (voir MEDEF).
CNPN,Conseil national de la protection de la nature.
CNPN,Commission nationale de prévention des nuisances
CNPPF,Centre national professionnel de la propriété forestière
CNPS,Centre National des Professions de Santé
CNPS,Centre national des ponts de secours
CNQCS,Conseil National de la Qualité et de la Coordination des Soins
CNR,Centre National de Référence
CNR,Comité national des registres
CNR,Compagnie nationale du Rhône
CNR,Conseil national du renseignement
CNR-MR,Comité national des registres maladies rares
CNRACL,Caisse nationale de retraite des agents des collectivités locales
CNRG,Consortium national de recherche en génomique
CNRM,Centre national de recherches météorologiques
CNRO,Centre National de Renseignement Opérationnel
CNRS,Centre national de la recherche scientifique
CNRSDA,Centre National De Référence Santé à Domicile et (+) Autonomie
CNS,Conférence nationale de santé
CNS,Conseil national sur le SIDA
CNS,Commission Nationale de Prévention
CNSA,Caisse nationale de solidarité pour l'autonomie
CNSA,Centre National de Sport des Armées
CNSAD,Conservatoire national supérieur d'art dramatique
CNSD,Centre National des Sports de la Défense
CNSD,Commissariat aux sports militaires - Centre national des sports de la Défense
CNSL,Centre national de soutien logistique de la gendarmerie nationale
CNSS,Caisse nationale de sécurité sociale.
CNTA,Comptoir national technique agricole
CNTS,Centre national de transfusion sanguine
CNTSS,Commission Nationale du Contentieux de la Tarification Sanitaire et Sociale
CNUCED,Conférence des Nations unies pour le commerce et le développement
CNUED,Conférence des nations unies sur l'environnement et le développement.
CNV,"Centre national de la chanson, des variétés et du jazz"
CNV,Conseil national des villes
CNVA,Conseil national de la vie associative
CNVJ,"Centre national de la chanson, des variétés et du jazz"
CNVL,Conseil National de la Vie Lycéenne
COAE,Centre d’orientation et d’action éducative
COB,Commission des opérations de bourse
COB,COmmunauté de Brigades
COCRIM,COordinateur CRIMinalistique
COCT,Conseil d'orientation sur les conditions de travail
COD,Centre opérationnel de défense
CODAC,Commission départementale d'accès à la citoyenneté
CODAF,Comité opérationnel départemental anti-fraude
CODAMU,Comité départemental d'aide médicale d'urgence.
CODAMUPS,COmités Départementaux de l’Aide Médicale Urgente et de la Permanence des Soins
CODEF,"Comité départemental de la formation professionnelle, de la promotion sociale et de l’emploi"
CODEFI,Comité départemental d'examen des problèmes de financement des entreprises
CODELICO,Comité départemental de Liaison et de Coordination des Services Sociaux voir aussi CLICOSS
CODEP,Comité départemental
CODER,Commission de développement économique régional
CODERPA,Comité départemental des retraités et personnes âgées
CODERST,Conseil départemental de l'environnement et des risques sanitaires
CODES,Comité départemental d’éducation pour la santé
CODEVI,Comptes pour le développement industriel
CODEX,Commission de développement extérieur
CODIR,COmité de DIRection
CODIS,Comité d'orientation pour le développement des industries stratégiques
CODIS,Centre opérationnel d'intervention et de secours
CODISC,Centre opérationnel de la direction de la défense et de la Sécurité civile
COE,Centre d’orientation éducative
COE,Conseil d’orientation de l’emploi
COE,Conseil d'orientation pour l'emploi
COEPIA,Conseil d'orientation de l'édition publique et de l'information administrative
COFACE,Compagnie française d'assurance pour le commerce extérieur
COFRAC,Comité FRançais d’ACcréditation
COG,Contrat d’Objectifs et de Gestion
COGEMA,Compagnie générale des matières nucléaires
COGIC,Centre opérationnel de gestion interministérielle des crises
COGIR,Contrat d’Objectifs et de Gestion Inter-Régimes
COI,Contrat Opérationnel Individualisé
COIA,Centre Opérationnel Interarmées
COJ,Code de l'Organisation Judiciaire
COLAF,Cellule Opérationnelle de Lutte Anti-Fraude
COLIR,Cellule Opérationnelle de Lutte contre les Irrégularités
COLITRAH,Comité de Liaison pour le TRAnsport des personnes Handicapées
COLORPA,Commission Locale Des Retraités et Personnes Agées
COLTER,Collectivités territoriales
COM,Collectivité d’outre-mer
COM,Contrat D’objectifs Et De Moyens
COMCYBER,Commandement des forces de cyberdéfense des armées françaises
COMEDIMS,COmission du MEdicament et des DIspositifs Médicaux Stériles
COMES,Commissariat à l'énergie solaire
COMEX,COMité EXécutif
COMP,Comité pour les médicaments orphelins
COMPAQH,Coordination pour la Mesure de la Performance et de l’Amélioration de la Qualité Hospitaliére
COMT,Commission des marchés à terme de marchandises
COORACE,Coordination des associations d’aides aux chômeurs pour l’emploi
COPA,Comité des organisations professionnelles agricoles.
COPACIF,Comité paritaire du congé individuel formation
COPE,COmité de PIlotage et d'Évaluation
COPEC,Commission pour la promotion et l'égalité des chances et de la citoyenneté
COPIL,COmité de PILotage
COPIRE,Commissions paritaires interprofessionnelles régionales de l’emploi
COPJ,Convocation par Officier de police judiciaire
COPJ,Convocation par OPJ
COPS,Commission de l’Organisation de la Permanence des Soins
COPSY,Conseiller d’Orientation Psychologue
COR,Conseil d'orientation des retraites
CORAT,Coordination Opérationnelle Renforcée des Agglomérations et des Territoires
CORDES,Comité d'organisation des recherches appliquées sur le développement économique et social
CORDET,Commission de coordination de la recherche des départements et territoires d'outre-mer
CORDIS,Comité de règlement des différends et des sanctions
COREC,Comité régional d'examen des comptes des organismes de sécurité sociale
COREF,"Comités régionaux de la formation professionnelle, de la promotion sociale et de l'emploi"
COREP,Commission régionale d'élaboration du plan régional de la qualité de l'air.
COREPS,Commission régionale des professions du spectacle
CORES,Comité Régional d’Éducation à la Santé
COREVIH,COordination REgionale de lutte contre le Virus de l’Immunodéficience Humaine
CORG,Centre d'Opérations et de Renseignement de la Gendarmerie
CORINE,Coordination des informations sur l'environnement (programme communautaire).
CORPEN,Comité d'orientation pour la réduction de la pollution des eaux par les nitrates.
CORRI,Comité régional de restructuration industrielle
COS,Coefficient d'occupation des sols
COSA,Commission pour les simplifications administratives
COSAC,Conférence des organes spécialisés des assemblées de la communauté
COSIP,Compte de soutien aux industries de programme
COSIS,Compte de soutien à l'industrie des programmes audiovisuels
COSLA,Comité d’Orientation pour la Simplification du Langage Administratif
COSSI,Centre opérationnel de la sécurité des systèmes d'information
COT,Convention d'occupation temporaire.
COTER,Comité TEchnique Régional
COTOREP,Commission technique d'orientation et de reclassement professionnel
COTRIM,Comité Technique Régional de l’Information Médicale
COUNA,Courriers non adressés
COV,Certificats d'obtentions végétales
COZ,Centre opérationnel zonal
CP,Code postal.
CP,Crédit de paiement
CP,Commissariat de Police ou Code Pénal ou Congé Parental
CP,Code pénal.
CPA,Cessation progressive d’activité
CPA,Classe Préparatoire à l’Apprentissage
CPA,Classification statistique des produits associée aux activités dans la Communauté Européenne
CPA,Compte personnel d'activité
CPAG,Centres de préparation à l'administration générale
CPAL,Comité de probation et d’aide aux libertés
CPAM,Caisse primaire d’assurance maladie
CPAS,Centre Polyvalent D’action Sociale
CPC,Classification des produits centrale dans la Communauté Européenne
CPCA,Conférence Permanente des Coordinations Associatives
CPCEA,Caisse de Prévoyance desCadres d’Exploitations Agricoles
CPDPN,Centre pluridisciplinaire de diagnostic prénatal
CPE,Conseiller Principal d’Education
CPE,Contrat première embauche
CPEF,Centre de Planification et d’Education Familiale
CPER,Contrat de projet État Région.
CPER,Contrat Plan État Région
CPF,Compte personnel de formation
CPFS,Centre De Placement Familial Spécialisé
CPG,Contrat Pluriannuels De Gestion
CPGC,Centre de Planification et de Gestion de Crise
CPGE,Classe Préparatoire aux Grandes Ecoles
CPH,Centre Provisoire D’hébergement
CPH,Conseil des prud’hommes
CPHLM,Caisse des Prêts aux HLM
CPI,Centres de placement immédiat
CPI,Classe Préparatoire Intégrée
CPI,Code de la Propriété Intellectuelle
CPIE,Centre permanent d'initiation à l'environnement
CPIGN,Classe Préparatoire Intégrée de la Gendarmerie Nationale
CPIP,Conseiller pénitentiaire d’insertion et de probation.
CPM,Caisse de Prévoyance et de retraites du personnel des organismes de Mutualité
CPMGN,Centre de Production Multimédia de la Gendarmerie Nationale
CPMHE,Comité pour la mémoire et l'histoire de l'esclavage
CPNE,Comité paritaire national de l’emploi
